trial_num,subj_code,prop_incongruent,resp_type,word,color,trial_type,orientation,resp,is_correct,RT
35,stroop_Yuanxue,.25,key,yellow,red,incongruent,upright,r,1,976.0
36,stroop_Yuanxue,.25,key,blue,red,incongruent,upside_down,r,1,544.0
37,stroop_Yuanxue,.25,key,blue,blue,congruent,upside_down,b,1,605.0
38,stroop_Yuanxue,.25,key,blue,blue,congruent,upside_down,b,1,500.0
39,stroop_Yuanxue,.25,key,yellow,yellow,congruent,upright,o,0,583.0
40,stroop_Yuanxue,.25,key,blue,yellow,incongruent,upright,y,1,1755.0
41,stroop_Yuanxue,.25,key,yellow,yellow,congruent,upright,y,1,484.0
42,stroop_Yuanxue,.25,key,green,orange,incongruent,upright,o,1,1031.0
43,stroop_Yuanxue,.25,key,yellow,yellow,congruent,upright,y,1,635.0
44,stroop_Yuanxue,.25,key,red,red,congruent,upright,r,1,644.0
45,stroop_Yuanxue,.25,key,yellow,yellow,congruent,upright,y,1,566.0
46,stroop_Yuanxue,.25,key,blue,yellow,incongruent,upside_down,y,1,762.0
47,stroop_Yuanxue,.25,key,yellow,green,incongruent,upright,g,1,979.0
48,stroop_Yuanxue,.25,key,red,red,congruent,upright,r,1,632.0
49,stroop_Yuanxue,.25,key,orange,blue,incongruent,upside_down,b,1,1104.0
50,stroop_Yuanxue,.25,key,green,green,congruent,upside_down,g,1,704.0
51,stroop_Yuanxue,.25,key,yellow,yellow,congruent,upright,y,1,588.0
52,stroop_Yuanxue,.25,key,red,orange,incongruent,upside_down,o,1,760.0
53,stroop_Yuanxue,.25,key,blue,orange,incongruent,upright,o,1,517.0
54,stroop_Yuanxue,.25,key,green,green,congruent,upright,g,1,573.0
55,stroop_Yuanxue,.25,key,blue,blue,congruent,upright,b,1,743.0
56,stroop_Yuanxue,.25,key,blue,blue,congruent,upright,b,1,424.0
57,stroop_Yuanxue,.25,key,green,green,congruent,upside_down,o,0,942.0
58,stroop_Yuanxue,.25,key,red,red,congruent,upside_down,r,1,683.0
59,stroop_Yuanxue,.25,key,yellow,yellow,congruent,upright,y,1,566.0
60,stroop_Yuanxue,.25,key,blue,blue,congruent,upright,b,1,526.0
61,stroop_Yuanxue,.25,key,green,green,congruent,upright,g,1,489.0
62,stroop_Yuanxue,.25,key,yellow,yellow,congruent,upside_down,y,1,651.0
63,stroop_Yuanxue,.25,key,green,green,congruent,upside_down,g,1,545.0
64,stroop_Yuanxue,.25,key,orange,orange,congruent,upside_down,o,1,641.0
65,stroop_Yuanxue,.25,key,green,green,congruent,upside_down,g,1,479.0
66,stroop_Yuanxue,.25,key,blue,blue,congruent,upside_down,b,1,481.0
67,stroop_Yuanxue,.25,key,yellow,red,incongruent,upright,y,0,557.0
68,stroop_Yuanxue,.25,key,blue,blue,congruent,upside_down,b,1,712.0
69,stroop_Yuanxue,.25,key,red,yellow,incongruent,upside_down,r,0,899.0
70,stroop_Yuanxue,.25,key,red,red,congruent,upright,r,1,624.0
71,stroop_Yuanxue,.25,key,blue,blue,congruent,upside_down,b,1,552.0
72,stroop_Yuanxue,.25,key,red,red,congruent,upside_down,r,1,738.0
73,stroop_Yuanxue,.25,key,red,red,congruent,upright,r,1,496.0
74,stroop_Yuanxue,.25,key,yellow,yellow,congruent,upside_down,y,1,578.0
75,stroop_Yuanxue,.25,key,green,green,congruent,upright,b,0,603.0
76,stroop_Yuanxue,.25,key,green,green,congruent,upside_down,g,1,474.0
77,stroop_Yuanxue,.25,key,red,red,congruent,upright,r,1,661.0
78,stroop_Yuanxue,.25,key,green,orange,incongruent,upside_down,g,0,600.0
79,stroop_Yuanxue,.25,key,orange,yellow,incongruent,upside_down,o,0,891.0
80,stroop_Yuanxue,.25,key,orange,red,incongruent,upright,r,1,1403.0
81,stroop_Yuanxue,.25,key,green,green,congruent,upside_down,g,1,666.0
82,stroop_Yuanxue,.25,key,yellow,green,incongruent,upside_down,g,1,1204.0
83,stroop_Yuanxue,.25,key,blue,blue,congruent,upright,b,1,667.0
84,stroop_Yuanxue,.25,key,yellow,red,incongruent,upright,r,1,869.0
85,stroop_Yuanxue,.25,key,orange,orange,congruent,upright,o,1,634.0
86,stroop_Yuanxue,.25,key,red,red,congruent,upside_down,r,1,608.0
87,stroop_Yuanxue,.25,key,yellow,yellow,congruent,upright,y,1,705.0
88,stroop_Yuanxue,.25,key,green,green,congruent,upside_down,g,1,731.0
89,stroop_Yuanxue,.25,key,orange,orange,congruent,upside_down,o,1,645.0
90,stroop_Yuanxue,.25,key,green,green,congruent,upside_down,g,1,536.0
91,stroop_Yuanxue,.25,key,orange,blue,incongruent,upright,b,1,1098.0
92,stroop_Yuanxue,.25,key,blue,blue,congruent,upright,b,1,444.0
93,stroop_Yuanxue,.25,key,green,orange,incongruent,upside_down,o,1,839.0
94,stroop_Yuanxue,.25,key,yellow,yellow,congruent,upright,y,1,650.0
95,stroop_Yuanxue,.25,key,green,blue,incongruent,upside_down,b,1,892.0
96,stroop_Yuanxue,.25,key,green,green,congruent,upright,g,1,1090.0
97,stroop_Yuanxue,.25,key,green,green,congruent,upright,g,1,395.0
98,stroop_Yuanxue,.25,key,blue,blue,congruent,upside_down,b,1,717.0
99,stroop_Yuanxue,.25,key,yellow,yellow,congruent,upright,y,1,778.0
100,stroop_Yuanxue,.25,key,yellow,yellow,congruent,upside_down,y,1,450.0
1,stroop_ZhuolunZhong,.75,key,red,green,incongruent,upright,NA,0,NA
2,stroop_ZhuolunZhong,.75,key,red,yellow,incongruent,upright,y,1,1600.0
3,stroop_ZhuolunZhong,.75,key,green,blue,incongruent,upright,b,1,1311.0
4,stroop_ZhuolunZhong,.75,key,green,orange,incongruent,upside_down,o,1,1266.0
5,stroop_ZhuolunZhong,.75,key,blue,red,incongruent,upside_down,r,1,906.0
6,stroop_ZhuolunZhong,.75,key,yellow,blue,incongruent,upside_down,b,1,1325.0
7,stroop_ZhuolunZhong,.75,key,blue,orange,incongruent,upside_down,o,1,1808.0
8,stroop_ZhuolunZhong,.75,key,green,orange,incongruent,upside_down,o,1,938.0
9,stroop_ZhuolunZhong,.75,key,blue,blue,congruent,upright,b,1,839.0
10,stroop_ZhuolunZhong,.75,key,orange,blue,incongruent,upright,o,0,250.0
11,stroop_ZhuolunZhong,.75,key,blue,yellow,incongruent,upright,o,0,1541.0
12,stroop_ZhuolunZhong,.75,key,blue,green,incongruent,upright,NA,0,NA
13,stroop_ZhuolunZhong,.75,key,green,orange,incongruent,upside_down,o,1,953.0
14,stroop_ZhuolunZhong,.75,key,red,orange,incongruent,upside_down,o,1,916.0
15,stroop_ZhuolunZhong,.75,key,yellow,red,incongruent,upright,r,1,1340.0
16,stroop_ZhuolunZhong,.75,key,orange,blue,incongruent,upside_down,b,1,1389.0
17,stroop_ZhuolunZhong,.75,key,red,yellow,incongruent,upside_down,y,1,1724.0
18,stroop_ZhuolunZhong,.75,key,red,blue,incongruent,upright,b,1,822.0
19,stroop_ZhuolunZhong,.75,key,red,green,incongruent,upright,g,1,1034.0
20,stroop_ZhuolunZhong,.75,key,orange,yellow,incongruent,upright,y,1,1309.0
21,stroop_ZhuolunZhong,.75,key,green,blue,incongruent,upside_down,b,1,1000.0
22,stroop_ZhuolunZhong,.75,key,orange,green,incongruent,upright,g,1,1001.0
23,stroop_ZhuolunZhong,.75,key,yellow,orange,incongruent,upright,o,1,1632.0
24,stroop_ZhuolunZhong,.75,key,yellow,red,incongruent,upright,r,1,839.0
25,stroop_ZhuolunZhong,.75,key,yellow,orange,incongruent,upright,o,1,1553.0
26,stroop_ZhuolunZhong,.75,key,blue,blue,congruent,upside_down,b,1,678.0
27,stroop_ZhuolunZhong,.75,key,red,blue,incongruent,upside_down,b,1,1033.0
28,stroop_ZhuolunZhong,.75,key,blue,green,incongruent,upright,g,1,952.0
29,stroop_ZhuolunZhong,.75,key,red,yellow,incongruent,upside_down,y,1,1073.0
30,stroop_ZhuolunZhong,.75,key,red,orange,incongruent,upright,o,1,1056.0
31,stroop_ZhuolunZhong,.75,key,green,red,incongruent,upright,r,1,913.0
32,stroop_ZhuolunZhong,.75,key,green,red,incongruent,upright,r,1,1084.0
33,stroop_ZhuolunZhong,.75,key,blue,red,incongruent,upright,r,1,779.0
34,stroop_ZhuolunZhong,.75,key,red,blue,incongruent,upright,b,1,869.0
35,stroop_ZhuolunZhong,.75,key,blue,green,incongruent,upside_down,g,1,1178.0
36,stroop_ZhuolunZhong,.75,key,green,yellow,incongruent,upside_down,y,1,1068.0
37,stroop_ZhuolunZhong,.75,key,green,green,congruent,upside_down,g,1,823.0
38,stroop_ZhuolunZhong,.75,key,red,blue,incongruent,upside_down,b,1,1196.0
